id Weight Body_Length Tail_Length Date Sex Year Age Who Cohort Wolfgruoben Mother Father f X_Position Y_Position animal Age3 Phi Im ARS LRS Origin Julian RelativeJulian ARSS rPhi rARSS rLRS rock_coverage herb_coverage rARS StDate StDateSq rLRS2
CN06-018 38 NA NA 2006-08-17 Male 2006 A SR/PW/TB 2005 FALSE 0 0 0 -1.8818982097519 -0.301162998412711 CN06-018 1 0 0 5 5 2006-01-01 228 84 5 0 3.73873873873874 0.867768595041322 -1.08545443027011 0.277744336420216 4.77011494252874 0.0940259550803381 -0.11691060231892 0.880258627844339
CN06-018 35 NA NA 2006-08-18 Male 2006 A SR/PW/TB 2005 FALSE 0 0 0 -1.8818982097519 -0.301162998412711 CN06-018 1 0 0 5 5 2006-01-01 229 85 5 0 3.73873873873874 0.867768595041322 -1.08545443027011 0.277744336420216 4.77011494252874 0.123210589816177 -0.0861752719268112 0.876629666122443
CN06-021 40 NA 30 2006-06-15 Female 2006 A PW 2005 FALSE 0 0 0 -1.38690833999137 -0.301162998412711 CN06-021 1 0 0 4 4 2006-01-01 165 21 4 0 2.16216216216216 1.04166666666667 0.391515284424419 -0.765674346748644 3.2520325203252 -1.74460603327753 -1.31995326825856 1.04665847214234
CN06-021 NA NA NA 2006-07-06 Female 2006 A PW 2005 FALSE 0 0 0 -1.22191171673786 -0.550681190630199 CN06-021 1 0 0 4 4 2006-01-01 186 42 4 0 2.16216216216216 1.04166666666667 -1.08545443027011 -0.626551855659463 3.2520325203252 -1.1317287038249 -1.07934473507063 1.0443364212505
CN06-021 44 NA 30 2006-08-08 Female 2006 A SR/PW 2005 FALSE 0 0 0 -1.38690833999137 -1.04971757506518 CN06-021 1 0 0 4 4 2006-01-01 219 75 4 0 2.16216216216216 1.04166666666667 -1.67624231614792 2.01677547503498 3.2520325203252 -0.168635757542214 -0.377160648420148 1.05474615299958
CN06-021 40 NA 30 2006-08-09 Female 2006 A SR/PW 2005 FALSE 0 0 0 -1.38690833999137 -1.04971757506518 CN06-021 1 0 0 4 4 2006-01-01 220 76 4 0 2.16216216216216 1.04166666666667 -1.67624231614792 2.01677547503498 3.2520325203252 -0.139451122806375 -0.349698903513589 1.04405159540497
CN06-021 44 NA NA 2006-08-17 Female 2006 A SR/PW/TB 2005 FALSE 0 0 0 -1.1394134051111 -0.550681190630199 CN06-021 1 0 0 4 4 2006-01-01 228 84 4 0 2.16216216216216 1.04166666666667 0.864145593126668 -0.765674346748644 3.2520325203252 0.0940259550803381 -0.11691060231892 1.04843870326959
CN06-021 42 NA NA 2006-08-18 Female 2006 A SR/PW/TB 2005 FALSE 0 0 0 -1.30441002836461 -0.301162998412711 CN06-021 1 0 0 4 4 2006-01-01 229 85 4 0 2.16216216216216 1.04166666666667 -1.67624231614792 1.32116301958908 3.2520325203252 0.123210589816177 -0.0861752719268112 1.06223109798998
CN06-023 36 NA 52 2006-06-15 Female 2006 A PW 2005 FALSE CN06-013 CN05-M3 0 -1.71690158649839 0.696909770457243 CN06-023 1 0 0 3 3 2006-01-01 165 21 3 0 1.62162162162162 0.78125 -1.97163625908683 1.32116301958908 2.4390243902439 -1.74460603327753 -1.31995326825856 0.799690990784474
CN06-023 38 NA NA 2006-08-18 Female 2006 A SR/PW/TB 2005 FALSE CN06-013 CN05-M3 0 -1.71690158649839 0.447391578239755 CN06-023 1 0 0 3 3 2006-01-01 229 85 3 0 1.62162162162162 0.78125 -1.67624231614792 1.32116301958908 2.4390243902439 0.123210589816177 -0.0861752719268112 0.782113723531298
